#Time,Field (G)
00:01:26.510,0.4
00:01:26.765,0.4
00:01:27.006,0.4
00:01:27.261,0.5
00:01:27.502,0.6
00:01:27.757,0.6
00:01:28.013,0.4
00:01:28.253,0.4
00:01:28.508,0.6
00:01:28.764,0.6
00:01:29.004,0.5
00:01:29.260,0.6
00:01:29.500,0.6
00:01:29.756,0.4
00:01:30.011,0.4
00:01:30.251,0.6
00:01:30.508,0.6
00:01:30.764,0.7
00:01:31.003,0.6
00:01:31.259,0.6
00:01:31.515,0.5
00:01:31.755,0.5
00:01:32.011,0.4
00:01:32.251,0.4
00:01:32.507,0.5
00:01:32.762,0.5
00:01:33.002,0.5
00:01:33.258,0.7
00:01:33.513,0.7
00:01:33.753,0.6
00:01:34.010,0.6
00:01:34.266,0.6
00:01:34.505,0.6
00:01:34.761,0.6
00:01:35.001,0.7
00:01:35.257,0.7
00:01:35.513,0.6
