rod_id,trial,measurement_index,point_index,value
Rod3,N2,68,1,-0.0077
Rod3,N2,68,2,-0.00786
Rod3,N2,68,3,-0.00967
Rod3,N2,68,4,-0.01329
Rod3,N2,68,5,-0.01378
Rod3,N2,68,6,-0.01888
Rod3,N2,69,0,-0.00704
Rod3,N2,69,1,-0.00737
Rod3,N2,69,2,-0.00803
Rod3,N2,69,3,-0.00951
Rod3,N2,69,4,-0.01312
Rod3,N2,69,5,-0.01378
Rod3,N2,69,6,-0.01888
Rod3,N2,70,0,-0.00704
Rod3,N2,70,1,-0.00737
Rod3,N2,70,2,-0.00803
Rod3,N2,70,3,-0.00967
Rod3,N2,70,4,-0.01312
Rod3,N2,70,5,-0.01394
Rod3,N2,70,6,-0.01888
Rod3,N2,71,0,-0.00704
Rod3,N2,71,1,-0.00737
Rod3,N2,71,2,-0.00786
Rod3,N2,71,3,-0.00967
Rod3,N2,71,4,-0.01312
Rod3,N2,71,5,-0.01378
Rod3,N2,71,6,-0.01871
Rod3,N2,72,0,-0.00721
Rod3,N2,72,1,-0.00737
Rod3,N2,72,2,-0.00786
Rod3,N2,72,3,-0.00967
Rod3,N2,72,4,-0.01312
Rod3,N2,72,5,-0.01378
Rod3,N2,72,6,-0.01871
Rod3,N2,73,0,-0.00704
Rod3,N2,73,1,-0.00753
Rod3,N2,73,2,-0.00803
Rod3,N2,73,3,-0.00967
Rod3,N2,73,4,-0.01329
Rod3,N2,73,5,-0.01394
Rod3,N2,73,6,-0.01904
Rod3,N2,74,0,-0.00704
Rod3,N2,74,1,-0.00753
Rod3,N2,74,2,-0.0077
Rod3,N2,74,3,-0.00951
Rod3,N2,74,4,-0.01312
Rod3,N2,74,5,-0.01394
Rod3,N2,74,6,-0.01888
Rod3,N2,75,0,-0.00688
Rod3,N2,75,1,-0.00737
Rod3,N2,75,2,-0.00786
Rod3,N2,75,3,-0.00951
Rod3,N2,75,4,-0.01296
Rod3,N2,75,5,-0.01378
Rod3,N2,75,6,-0.01871
Rod3,N2,76,0,-0.00704
Rod3,N2,76,1,-0.00753
Rod3,N2,76,2,-0.00803
Rod3,N2,76,3,-0.00951
Rod3,N2,76,4,-0.01312
Rod3,N2,76,5,-0.01394
Rod3,N2,76,6,-0.01904
Rod3,N2,77,0,-0.00721
Rod3,N2,77,1,-0.00737
Rod3,N2,77,2,-0.00786
Rod3,N2,77,3,-0.00951
Rod3,N2,77,4,-0.01312
Rod3,N2,77,5,-0.01378
Rod3,N2,77,6,-0.01904
Rod3,N2,78,0,-0.00704
Rod3,N2,78,1,-0.00721
Rod3,N2,78,2,-0.00803
Rod3,N2,78,3,-0.00934
Rod3,N2,78,4,-0.01296
Rod3,N2,78,5,-0.01411
Rod3,N2,78,6,-0.01888
Rod3,N2,79,0,-0.00704
Rod3,N2,79,1,-0.00737
Rod3,N2,79,2,-0.00803
Rod3,N2,79,3,-0.00951
Rod3,N2,79,4,-0.01329
Rod3,N2,79,5,-0.01411
Rod3,N2,79,6,-0.01904
Rod3,N2,80,0,-0.00704
Rod3,N2,80,1,-0.00737
Rod3,N2,80,2,-0.00786
Rod3,N2,80,3,-0.00967
Rod3,N2,80,4,-0.01312
Rod3,N2,80,5,-0.01394
Rod3,N2,80,6,-0.01871
Rod3,N2,81,0,-0.00721
Rod3,N2,81,1,-0.00721
Rod3,N2,81,2,-0.00786
Rod3,N2,81,3,-0.00967
Rod3,N2,81,4,-0.01312
Rod3,N2,81,5,-0.01394
Rod3,N2,81,6,-0.01888
Rod3,N2,82,0,-0.00704
Rod3,N2,82,1,-0.00753
Rod3,N2,82,2,-0.00786
Rod3,N2,82,3,-0.00967
Rod3,N2,82,4,-0.01329
Rod3,N2,82,5,-0.01394
Rod3,N2,82,6,-0.01888
Rod3,N2,83,0,-0.00721
Rod3,N2,83,1,-0.00753
Rod3,N2,83,2,-0.00803
Rod3,N2,83,3,-0.00918
Rod3,N2,83,4,-0.01312
Rod3,N2,83,5,-0.01394
Rod3,N2,83,6,-0.01888
Rod3,N2,84,0,-0.00688
Rod3,N2,84,1,-0.00737
Rod3,N2,84,2,-0.00786
Rod3,N2,84,3,-0.00967
Rod3,N2,84,4,-0.01312
Rod3,N2,84,5,-0.01394
Rod3,N2,84,6,-0.01888
Rod3,N2,85,0,-0.00704
Rod3,N2,85,1,-0.00753
Rod3,N2,85,2,-0.00786
Rod3,N2,85,3,-0.00967
Rod3,N2,85,4,-0.01329
Rod3,N2,85,5,-0.01394
Rod3,N2,85,6,-0.01904
Rod3,N2,86,0,-0.00704
Rod3,N2,86,1,-0.00753
Rod3,N2,86,2,-0.00803
Rod3,N2,86,3,-0.00951
Rod3,N2,86,4,-0.01312
Rod3,N2,86,5,-0.01378
Rod3,N2,86,6,-0.01888
Rod3,N2,87,0,-0.00721
Rod3,N2,87,1,-0.00721
Rod3,N2,87,2,-0.00803
Rod3,N2,87,3,-0.00967
Rod3,N2,87,4,-0.01312
Rod3,N2,87,5,-0.01411
Rod3,N2,87,6,-0.01888
Rod3,N2,88,0,-0.00688
Rod3,N2,88,1,-0.00753
Rod3,N2,88,2,-0.00803
Rod3,N2,88,3,-0.00951
Rod3,N2,88,4,-0.01296
Rod3,N2,88,5,-0.01394
Rod3,N2,88,6,-0.01888
Rod3,N2,89,0,-0.00704
Rod3,N2,89,1,-0.00753
Rod3,N2,89,2,-0.00803
Rod3,N2,89,3,-0.00934
Rod3,N2,89,4,-0.01312
Rod3,N2,89,5,-0.01394
Rod3,N2,89,6,-0.01904
Rod3,N2,90,0,-0.00671
Rod3,N2,90,1,-0.00737
Rod3,N2,90,2,-0.00786
Rod3,N2,90,3,-0.00967
Rod3,N2,90,4,-0.01312
Rod3,N2,90,5,-0.01394
Rod3,N2,90,6,-0.01904
Rod3,N2,91,0,-0.00737
Rod3,N2,91,1,-0.00737
Rod3,N2,91,2,-0.00786
Rod3,N2,91,3,-0.00984
Rod3,N2,91,4,-0.01312
Rod3,N2,91,5,-0.01394
Rod3,N2,91,6,-0.01888
Rod3,N2,92,0,-0.00688
Rod3,N2,92,1,-0.00737
Rod3,N2,92,2,-0.00786
Rod3,N2,92,3,-0.00967
Rod3,N2,92,4,-0.01329
Rod3,N2,92,5,-0.01378
Rod3,N2,92,6,-0.01888
Rod3,N2,93,0,-0.00721
Rod3,N2,93,1,-0.00753
Rod3,N2,93,2,-0.00803
Rod3,N2,93,3,-0.00967
Rod3,N2,93,4,-0.01329
Rod3,N2,93,5,-0.01394
Rod3,N2,93,6,-0.01904
Rod3,N2,94,0,-0.00721
Rod3,N2,94,1,-0.00737
Rod3,N2,94,2,-0.00786
Rod3,N2,94,3,-0.00951
Rod3,N2,94,4,-0.01312
Rod3,N2,94,5,-0.01378
Rod3,N2,94,6,-0.01888
Rod3,N2,95,0,-0.00721
Rod3,N2,95,1,-0.0077
Rod3,N2,95,2,-0.00803
Rod3,N2,95,3,-0.00967
Rod3,N2,95,4,-0.01312
Rod3,N2,95,5,-0.01362
Rod3,N2,95,6,-0.01888
Rod3,N2,96,0,-0.00688
Rod3,N2,96,1,-0.00753
Rod3,N2,96,2,-0.00803
Rod3,N2,96,3,-0.00967
Rod3,N2,96,4,-0.01329
Rod3,N2,96,5,-0.01411
Rod3,N2,96,6,-0.01904
Rod3,N2,97,0,-0.00721
Rod3,N2,97,1,-0.00737
Rod3,N2,97,2,-0.00786
Rod3,N2,97,3,-0.00951
Rod3,N2,97,4,-0.01329
Rod3,N2,97,5,-0.01378
Rod3,N2,97,6,-0.01888
Rod3,N2,98,0,-0.00721
Rod3,N2,98,1,-0.00737
Rod3,N2,98,2,-0.00786
Rod3,N2,98,3,-0.00984
Rod3,N2,98,4,-0.01329
Rod3,N2,98,5,-0.01394
Rod3,N2,98,6,-0.01871
Rod3,N2,99,0,-0.00721
Rod3,N2,99,1,-0.00721
Rod3,N2,99,2,-0.00786
Rod3,N2,99,3,-0.00967
Rod3,N2,99,4,-0.01329
Rod3,N2,99,5,-0.01378
Rod3,N2,99,6,-0.01888
Rod3,N3,0,0,0.002
Rod3,N3,0,1,-0.0317
Rod3,N3,0,2,-0.03301
Rod3,N3,0,3,-0.03581
Rod3,N3,0,4,-0.04304
Rod3,N3,0,5,-0.04912
Rod3,N3,0,6,-0.06326
Rod3,N3,0,7,-0.07674
Rod3,N3,1,0,0.00216
Rod3,N3,1,1,-0.0317
Rod3,N3,1,2,-0.03285
Rod3,N3,1,3,-0.03548
Rod3,N3,1,4,-0.0432
Rod3,N3,1,5,-0.04929
Rod3,N3,1,6,-0.06342
Rod3,N3,1,7,-0.07723
Rod3,N3,2,0,0.00216
Rod3,N3,2,1,-0.03186
Rod3,N3,2,2,-0.03285
Rod3,N3,2,3,-0.03564
Rod3,N3,2,4,-0.0432
Rod3,N3,2,5,-0.04929
Rod3,N3,2,6,-0.06359
Rod3,N3,2,7,-0.07723
Rod3,N3,3,0,0.002
Rod3,N3,3,1,-0.03186
Rod3,N3,3,2,-0.03301
Rod3,N3,3,3,-0.03531
Rod3,N3,3,4,-0.04337
Rod3,N3,3,5,-0.04962
Rod3,N3,3,6,-0.06342
Rod3,N3,3,7,-0.07723
Rod3,N3,4,0,0.00216
Rod3,N3,4,1,-0.03203
Rod3,N3,4,2,-0.03318
Rod3,N3,4,3,-0.03531
Rod3,N3,4,4,-0.0432
Rod3,N3,4,5,-0.04945
Rod3,N3,4,6,-0.06342
Rod3,N3,4,7,-0.07723
Rod3,N3,5,0,0.00184
Rod3,N3,5,1,-0.03203
Rod3,N3,5,2,-0.03285
Rod3,N3,5,3,-0.03548
Rod3,N3,5,4,-0.0432
Rod3,N3,5,5,-0.04912
Rod3,N3,5,6,-0.06326
Rod3,N3,5,7,-0.07723
Rod3,N3,6,0,0.00216
Rod3,N3,6,1,-0.03203
Rod3,N3,6,2,-0.03301
Rod3,N3,6,3,-0.03548
Rod3,N3,6,4,-0.04337
Rod3,N3,6,5,-0.04929
Rod3,N3,6,6,-0.06326
Rod3,N3,6,7,-0.07707
Rod3,N3,7,0,0.00184
Rod3,N3,7,1,-0.03203
Rod3,N3,7,2,-0.03318
Rod3,N3,7,3,-0.03548
Rod3,N3,7,4,-0.04304
Rod3,N3,7,5,-0.04945
Rod3,N3,7,6,-0.06326
Rod3,N3,7,7,-0.07723
Rod3,N3,8,0,0.00216
Rod3,N3,8,1,-0.03186
Rod3,N3,8,2,-0.03301
Rod3,N3,8,3,-0.03548
