rod_id	position	measurement_index	point_index	value
Rod2	endN1	14	0	0.00068
Rod2	endN1	14	1	0.00233
Rod2	endN1	14	2	0.0043
Rod2	endN1	14	3	0.00562
Rod2	endN1	14	4	0.00742
Rod2	endN1	14	5	0.01055
Rod2	endN1	14	6	0.01219
Rod2	endN1	14	7	0.01384
Rod2	endN1	14	8	0.01531
Rod2	endN1	14	9	0.01696
Rod2	endN1	14	10	0.01844
Rod2	endN1	14	11	0.02041
Rod2	endN1	14	12	0.02205
Rod2	endN1	14	13	0.0237
Rod2	endN1	14	14	0.02518
Rod2	endN1	14	15	0.02666
Rod2	endN1	15	0	0.00085
Rod2	endN1	15	1	0.00249
Rod2	endN1	15	2	0.0043
Rod2	endN1	15	3	0.00562
Rod2	endN1	15	4	0.00759
Rod2	endN1	15	5	0.01038
Rod2	endN1	15	6	0.01203
Rod2	endN1	15	7	0.01367
Rod2	endN1	15	8	0.01548
Rod2	endN1	15	9	0.01679
Rod2	endN1	15	10	0.01877
Rod2	endN1	15	11	0.02025
Rod2	endN1	15	12	0.02189
Rod2	endN1	15	13	0.02337
Rod2	endN1	15	14	0.02518
Rod2	endN1	15	15	0.02682
Rod2	endN1	16	0	0.00052
Rod2	endN1	16	1	0.00233
Rod2	endN1	16	2	0.00414
Rod2	endN1	16	3	0.00562
Rod2	endN1	16	4	0.00742
Rod2	endN1	16	5	0.01038
Rod2	endN1	16	6	0.01236
Rod2	endN1	16	7	0.01384
Rod2	endN1	16	8	0.01531
Rod2	endN1	16	9	0.01679
Rod2	endN1	16	10	0.01827
Rod2	endN1	16	11	0.02025
Rod2	endN1	16	12	0.02205
Rod2	endN1	16	13	0.02337
Rod2	endN1	16	14	0.02518
Rod2	endN1	16	15	0.02666
Rod2	endN1	17	0	0.00068
Rod2	endN1	17	1	0.00233
Rod2	endN1	17	2	0.0043
Rod2	endN1	17	3	0.00594
Rod2	endN1	17	4	0.00759
Rod2	endN1	17	5	0.01038
Rod2	endN1	17	6	0.01219
Rod2	endN1	17	7	0.014
Rod2	endN1	17	8	0.01531
Rod2	endN1	17	9	0.01696
Rod2	endN1	17	10	0.01844
Rod2	endN1	17	11	0.02025
Rod2	endN1	17	12	0.02189
Rod2	endN1	17	13	0.02353
Rod2	endN1	17	14	0.02501
Rod2	endN1	17	15	0.02682
Rod2	endN1	18	0	0.00036
Rod2	endN1	18	1	0.00249
Rod2	endN1	18	2	0.0043
Rod2	endN1	18	3	0.00562
Rod2	endN1	18	4	0.00726
Rod2	endN1	18	5	0.01055
Rod2	endN1	18	6	0.01236
Rod2	endN1	18	7	0.01384
Rod2	endN1	18	8	0.01564
Rod2	endN1	18	9	0.01696
Rod2	endN1	18	10	0.01844
Rod2	endN1	18	11	0.02041
Rod2	endN1	18	12	0.02205
Rod2	endN1	18	13	0.02353
Rod2	endN1	18	14	0.02518
Rod2	endN1	18	15	0.02682
