rod_id,position,angle,measurement_index,point_index,value
Rod3,endN3,0,6,23,0.01268
Rod3,endN3,0,6,24,0.01433
Rod3,endN3,0,6,25,0.01597
Rod3,endN3,0,6,26,0.01778
Rod3,endN3,0,6,27,0.01942
Rod3,endN3,0,6,28,0.02156
Rod3,endN3,0,6,29,0.02288
Rod3,endN3,0,6,30,0.02468
Rod3,endN3,0,6,31,0.02666
Rod3,endN3,0,7,0,-0.00129
Rod3,endN3,0,7,1,-0.00112
Rod3,endN3,0,7,2,-0.00079
Rod3,endN3,0,7,3,-0.0003
Rod3,endN3,0,7,4,-0.00014
Rod3,endN3,0,7,5,0.00052
Rod3,endN3,0,7,6,0.00036
Rod3,endN3,0,7,7,0.00118
Rod3,endN3,0,7,8,0.00118
Rod3,endN3,0,7,9,0.00167
Rod3,endN3,0,7,10,0.00167
Rod3,endN3,0,7,11,0.00249
Rod3,endN3,0,7,12,0.00299
Rod3,endN3,0,7,13,0.00315
Rod3,endN3,0,7,14,0.00315
Rod3,endN3,0,7,15,0.00381
Rod3,endN3,0,7,16,0.0043
Rod3,endN3,0,7,17,0.00447
Rod3,endN3,0,7,18,0.00496
Rod3,endN3,0,7,19,0.00529
Rod3,endN3,0,7,20,0.00677
Rod3,endN3,0,7,21,0.00923
Rod3,endN3,0,7,22,0.01022
Rod3,endN3,0,7,23,0.01268
Rod3,endN3,0,7,24,0.01416
Rod3,endN3,0,7,25,0.01581
Rod3,endN3,0,7,26,0.01778
Rod3,endN3,0,7,27,0.01942
Rod3,endN3,0,7,28,0.0214
Rod3,endN3,0,7,29,0.02304
Rod3,endN3,0,7,30,0.02468
Rod3,endN3,0,7,31,0.02666
Rod3,endN3,0,8,0,-0.00145
Rod3,endN3,0,8,1,-0.00112
Rod3,endN3,0,8,2,-0.00079
Rod3,endN3,0,8,3,-0.00014
Rod3,endN3,0,8,4,-0.0003
Rod3,endN3,0,8,5,0.00019
Rod3,endN3,0,8,6,0.00052
Rod3,endN3,0,8,7,0.00101
Rod3,endN3,0,8,8,0.00134
Rod3,endN3,0,8,9,0.00151
Rod3,endN3,0,8,10,0.002
Rod3,endN3,0,8,11,0.00233
Rod3,endN3,0,8,12,0.00266
Rod3,endN3,0,8,13,0.00315
Rod3,endN3,0,8,14,0.00331
Rod3,endN3,0,8,15,0.00381
Rod3,endN3,0,8,16,0.0043
Rod3,endN3,0,8,17,0.00447
Rod3,endN3,0,8,18,0.00512
Rod3,endN3,0,8,19,0.00529
Rod3,endN3,0,8,20,0.00693
Rod3,endN3,0,8,21,0.00923
Rod3,endN3,0,8,22,0.01055
Rod3,endN3,0,8,23,0.01268
Rod3,endN3,0,8,24,0.01433
Rod3,endN3,0,8,25,0.01581
Rod3,endN3,0,8,26,0.01778
Rod3,endN3,0,8,27,0.01942
Rod3,endN3,0,8,28,0.0214
Rod3,endN3,0,8,29,0.02288
Rod3,endN3,0,8,30,0.02452
Rod3,endN3,0,8,31,0.02649
Rod3,endN3,0,9,0,-0.00112
Rod3,endN3,0,9,1,-0.00129
Rod3,endN3,0,9,2,-0.00096
Rod3,endN3,0,9,3,-0.00063
Rod3,endN3,0,9,4,3e-05
Rod3,endN3,0,9,5,0.00036
Rod3,endN3,0,9,6,0.00068
Rod3,endN3,0,9,7,0.00101
Rod3,endN3,0,9,8,0.00134
Rod3,endN3,0,9,9,0.00151
Rod3,endN3,0,9,10,0.002
Rod3,endN3,0,9,11,0.00249
Rod3,endN3,0,9,12,0.00266
Rod3,endN3,0,9,13,0.00315
Rod3,endN3,0,9,14,0.00331
Rod3,endN3,0,9,15,0.00364
Rod3,endN3,0,9,16,0.00414
Rod3,endN3,0,9,17,0.00479
Rod3,endN3,0,9,18,0.00496
Rod3,endN3,0,9,19,0.00545
Rod3,endN3,0,9,20,0.00693
Rod3,endN3,0,9,21,0.00907
Rod3,endN3,0,9,22,0.01055
Rod3,endN3,0,9,23,0.01252
Rod3,endN3,0,9,24,0.01433
Rod3,endN3,0,9,25,0.01614
Rod3,endN3,0,9,26,0.01794
Rod3,endN3,0,9,27,0.01959
Rod3,endN3,0,9,28,0.02123
Rod3,endN3,0,9,29,0.02304
Rod3,endN3,0,9,30,0.02485
Rod3,endN3,0,9,31,0.02649
Rod3,endN3,0,10,0,-0.00096
Rod3,endN3,0,10,1,-0.00145
Rod3,endN3,0,10,2,-0.00096
Rod3,endN3,0,10,3,-0.00063
Rod3,endN3,0,10,4,-0.0003
Rod3,endN3,0,10,5,3e-05
Rod3,endN3,0,10,6,0.00068
Rod3,endN3,0,10,7,0.00085
Rod3,endN3,0,10,8,0.00134
Rod3,endN3,0,10,9,0.00167
Rod3,endN3,0,10,10,0.00184
Rod3,endN3,0,10,11,0.00249
Rod3,endN3,0,10,12,0.00266
Rod3,endN3,0,10,13,0.00315
Rod3,endN3,0,10,14,0.00315
Rod3,endN3,0,10,15,0.00364
Rod3,endN3,0,10,16,0.00397
Rod3,endN3,0,10,17,0.00463
Rod3,endN3,0,10,18,0.00479
Rod3,endN3,0,10,19,0.00512
Rod3,endN3,0,10,20,0.0071
Rod3,endN3,0,10,21,0.00907
Rod3,endN3,0,10,22,0.01055
Rod3,endN3,0,10,23,0.01268
Rod3,endN3,0,10,24,0.01416
Rod3,endN3,0,10,25,0.01614
Rod3,endN3,0,10,26,0.01778
Rod3,endN3,0,10,27,0.01959
Rod3,endN3,0,10,28,0.0214
Rod3,endN3,0,10,29,0.02304
Rod3,endN3,0,10,30,0.02468
Rod3,endN3,0,10,31,0.02666
Rod3,endN3,0,11,0,-0.00112
Rod3,endN3,0,11,1,-0.00129
Rod3,endN3,0,11,2,-0.00063
Rod3,endN3,0,11,3,-0.00047
Rod3,endN3,0,11,4,-0.00014
Rod3,endN3,0,11,5,0.00019
Rod3,endN3,0,11,6,0.00052
Rod3,endN3,0,11,7,0.00085
Rod3,endN3,0,11,8,0.00134
Rod3,endN3,0,11,9,0.00167
Rod3,endN3,0,11,10,0.00184
Rod3,endN3,0,11,11,0.00233
Rod3,endN3,0,11,12,0.00266
Rod3,endN3,0,11,13,0.00331
Rod3,endN3,0,11,14,0.00315
Rod3,endN3,0,11,15,0.00381
Rod3,endN3,0,11,16,0.00414
Rod3,endN3,0,11,17,0.00463
Rod3,endN3,0,11,18,0.00479
Rod3,endN3,0,11,19,0.00529
Rod3,endN3,0,11,20,0.00693
Rod3,endN3,0,11,21,0.00907
Rod3,endN3,0,11,22,0.01055
Rod3,endN3,0,11,23,0.01268
Rod3,endN3,0,11,24,0.01433
Rod3,endN3,0,11,25,0.01581
Rod3,endN3,0,11,26,0.01794
Rod3,endN3,0,11,27,0.01959
Rod3,endN3,0,11,28,0.0214
Rod3,endN3,0,11,29,0.02304
Rod3,endN3,0,11,30,0.02485
Rod3,endN3,0,11,31,0.02633
Rod3,endN3,0,12,0,-0.00096
Rod3,endN3,0,12,1,-0.00129
Rod3,endN3,0,12,2,-0.00079
Rod3,endN3,0,12,3,-0.00047
Rod3,endN3,0,12,4,3e-05
Rod3,endN3,0,12,5,0.00019
Rod3,endN3,0,12,6,0.00052
Rod3,endN3,0,12,7,0.00101
Rod3,endN3,0,12,8,0.00134
Rod3,endN3,0,12,9,0.00184
Rod3,endN3,0,12,10,0.00167
Rod3,endN3,0,12,11,0.00266
Rod3,endN3,0,12,12,0.00249
Rod3,endN3,0,12,13,0.00299
Rod3,endN3,0,12,14,0.00331
Rod3,endN3,0,12,15,0.00364
Rod3,endN3,0,12,16,0.00414
Rod3,endN3,0,12,17,0.00447
Rod3,endN3,0,12,18,0.00512
Rod3,endN3,0,12,19,0.00496
Rod3,endN3,0,12,20,0.0071
Rod3,endN3,0,12,21,0.00923
Rod3,endN3,0,12,22,0.01038
Rod3,endN3,0,12,23,0.01268
Rod3,endN3,0,12,24,0.014
Rod3,endN3,0,12,25,0.01597
Rod3,endN3,0,12,26,0.01811
Rod3,endN3,0,12,27,0.01959
Rod3,endN3,0,12,28,0.0214
Rod3,endN3,0,12,29,0.02288
Rod3,endN3,0,12,30,0.02468
Rod3,endN3,0,12,31,0.02666
Rod3,endN3,0,13,0,-0.00129
Rod3,endN3,0,13,1,-0.00129
Rod3,endN3,0,13,2,-0.00079
Rod3,endN3,0,13,3,-0.00047
Rod3,endN3,0,13,4,-0.00014
Rod3,endN3,0,13,5,0.00019
Rod3,endN3,0,13,6,0.00068
Rod3,endN3,0,13,7,0.00085
Rod3,endN3,0,13,8,0.00134
Rod3,endN3,0,13,9,0.00184
Rod3,endN3,0,13,10,0.00184
Rod3,endN3,0,13,11,0.00216
Rod3,endN3,0,13,12,0.00282
Rod3,endN3,0,13,13,0.00299
Rod3,endN3,0,13,14,0.00331
Rod3,endN3,0,13,15,0.00381
Rod3,endN3,0,13,16,0.00414
Rod3,endN3,0,13,17,0.0043
Rod3,endN3,0,13,18,0.00496
Rod3,endN3,0,13,19,0.00512
Rod3,endN3,0,13,20,0.0071
Rod3,endN3,0,13,21,0.00923
Rod3,endN3,0,13,22,0.01071
Rod3,endN3,0,13,23,0.01285
Rod3,endN3,0,13,24,0.01433
Rod3,endN3,0,13,25,0.01597
Rod3,endN3,0,13,26,0.01778
Rod3,endN3,0,13,27,0.01959
Rod3,endN3,0,13,28,0.02123
Rod3,endN3,0,13,29,0.02304
Rod3,endN3,0,13,30,0.02468
Rod3,endN3,0,13,31,0.02682
Rod3,endN3,0,14,0,-0.00145
Rod3,endN3,0,14,1,-0.00145
Rod3,endN3,0,14,2,-0.00079
Rod3,endN3,0,14,3,-0.00063
Rod3,endN3,0,14,4,-0.00014
Rod3,endN3,0,14,5,0.00019
Rod3,endN3,0,14,6,0.00085
Rod3,endN3,0,14,7,0.00101
Rod3,endN3,0,14,8,0.00134
Rod3,endN3,0,14,9,0.00167
Rod3,endN3,0,14,10,0.002
Rod3,endN3,0,14,11,0.00249
Rod3,endN3,0,14,12,0.00282
Rod3,endN3,0,14,13,0.00315
Rod3,endN3,0,14,14,0.00315
Rod3,endN3,0,14,15,0.00381
Rod3,endN3,0,14,16,0.0043
Rod3,endN3,0,14,17,0.00463
Rod3,endN3,0,14,18,0.00479
Rod3,endN3,0,14,19,0.00529
Rod3,endN3,0,14,20,0.0071
Rod3,endN3,0,14,21,0.00923
Rod3,endN3,0,14,22,0.01071
Rod3,endN3,0,14,23,0.01252
Rod3,endN3,0,14,24,0.01433
Rod3,endN3,0,14,25,0.01581
Rod3,endN3,0,14,26,0.01778
Rod3,endN3,0,14,27,0.01942
Rod3,endN3,0,14,28,0.02123
Rod3,endN3,0,14,29,0.02304
Rod3,endN3,0,14,30,0.02485
Rod3,endN3,0,14,31,0.02649
Rod3,endN3,0,15,0,-0.00112
Rod3,endN3,0,15,1,-0.00129
